,COUNTYFIP,Dominant_Species,dominant_plots
0,50001,sugar maple,91
26,50003,American beech,105
48,50005,sugar maple,64
68,50007,sugar maple,60
85,50009,sugar maple,105
99,50011,sugar maple,64
119,50013,white ash,5
125,50015,sugar maple,61
138,50017,sugar maple,94
159,50019,sugar maple,69
176,50021,sugar maple,112
203,50023,sugar maple,72
222,50025,red maple,86
240,50027,sugar maple,138
0,9001,red maple,35
21,9003,red maple,59
46,9005,red maple,89
70,9007,red maple,58
91,9009,red maple,84
110,9011,red maple,80
131,9013,red maple,70
146,9015,red maple,62
0,23001,red maple,71
15,23003,sugar maple,258
44,23005,red maple,107
60,23007,red maple,121
87,23009,red maple,61
108,23011,red maple,68
123,23013,red maple,29
142,23015,red maple,34
155,23017,red maple,185
177,23019,American beech,181
208,23021,American beech,205
228,23023,red maple,37
243,23025,red maple,251
271,23027,red maple,73
292,23029,red maple,160
318,23031,red maple,158
0,33001,red maple,48
18,33003,red maple,117
38,33005,red maple,96
56,33007,sugar maple,152
81,33009,red maple,160
102,33011,red maple,114
121,33013,red maple,154
145,33015,red maple,66
164,33017,red maple,54
176,33019,red maple,52
1,25001,scarlet oak,26
10,25003,red maple,61
35,25005,red maple,109
52,25007,black oak,8
58,25009,red maple,56
74,25011,red maple,47
89,25013,red maple,65
114,25015,red maple,61
133,25017,red maple,68
157,25019,black gum,3
161,25021,red maple,61
173,25023,red maple,62
186,25027,red maple,191
0,44001,red maple,balsam fir
4,44003,red maple,31
15,44005,red maple,21
25,44007,red maple,98
46,44009,red maple,91
